+-------------------+--------+
| Number of queries | Points |
+-------------------+--------+
|                 0 |     75 |
|                 1 |     75 |
|                 2 |     75 |
|                 3 |     75 |
|                 4 |     75 |
|                 5 |     75 |
|                 6 |     63 |
|                 7 |     58 |
|                 8 |     57 |
|                 9 |     56 |
|                10 |     55 |
|                11 |     51 |
|                12 |     50 |
|                13 |     49 |
|                14 |     47 |
|                15 |     46 |
|                16 |     44 |
|                17 |     43 |
|                18 |     42 |
|                19 |     41 |
|                20 |     39 |
|                21 |     38 |
|                22 |     37 |
|                23 |     36 |
|                24 |     35 |
|                25 |     34 |
|                26 |     33 |
|                27 |     32 |
|                28 |     31 |
|                29 |     30 |
|                30 |     29 |
|                31 |     28 |
|                32 |     28 |
|                33 |     27 |
|                34 |     26 |
|                35 |     25 |
|                36 |     25 |
|                37 |     24 |
|                38 |     23 |
|                39 |     22 |
|                40 |     22 |
|                41 |     21 |
|                42 |     21 |
|                43 |     20 |
|                44 |     19 |
|                45 |     19 |
|                46 |     18 |
|                47 |     18 |
|                48 |     17 |
|                49 |     17 |
|                50 |     16 |
|                51 |     16 |
|                52 |     15 |
|                53 |     15 |
|                54 |     14 |
|                55 |     14 |
|                56 |     14 |
|                57 |     13 |
|                58 |     13 |
|                59 |     12 |
|                60 |     12 |
|                61 |     12 |
|                62 |     11 |
|                63 |     11 |
|                64 |     11 |
|                65 |     10 |
|                66 |     10 |
|                67 |     10 |
|                68 |     10 |
|                69 |      9 |
|                70 |      9 |
|                71 |      9 |
|                72 |      8 |
|                73 |      8 |
|                74 |      8 |
|                75 |      8 |
|                76 |      7 |
|                77 |      7 |
|                78 |      7 |
|                79 |      7 |
|                80 |      7 |
|                81 |      7 |
|                82 |      7 |
|                83 |      7 |
|                84 |      7 |
|                85 |      7 |
|                86 |      7 |
|                87 |      7 |
|                88 |      7 |
|                89 |      6 |
|                90 |      6 |
|                91 |      6 |
|                92 |      6 |
|                93 |      6 |
|                94 |      6 |
|                95 |      6 |
|                96 |      6 |
|                97 |      6 |
|                98 |      6 |
|                99 |      6 |
|               100 |      6 |
|               101 |      6 |
|               102 |      6 |
|               103 |      6 |
|               104 |      6 |
|               105 |      6 |
|               106 |      6 |
|               107 |      6 |
|               108 |      6 |
|               109 |      6 |
|               110 |      6 |
|               111 |      6 |
|               112 |      6 |
|               113 |      5 |
|               114 |      5 |
|               115 |      5 |
|               116 |      5 |
|               117 |      5 |
|               118 |      5 |
|               119 |      5 |
|               120 |      5 |
|               121 |      5 |
|               122 |      5 |
|               123 |      5 |
|               124 |      5 |
|               125 |      5 |
|               126 |      5 |
|               127 |      5 |
|               128 |      5 |
|               129 |      5 |
|               130 |      5 |
|               131 |      5 |
|               132 |      5 |
|               133 |      5 |
|               134 |      5 |
|               135 |      5 |
|               136 |      5 |
|               137 |      5 |
|               138 |      5 |
|               139 |      5 |
